R,606,7,9,2,4,KE,BA,,,10,,14:07,14:09,00:02,,,,,851,858
Os,3321,11,18,7,3,BA,KE,,606,10,,14:11,14:18,00:07,,,,,858,860
Ex,124,18,20,2,4,KE,PR,,,10,,14:18,14:20,00:02,,,,,882,890
Os,3267,42,50,5,8,PR,PR,3266,3320,10,,14:42,14:50,00:08,,,,,883,885
Os,3320,43,45,2,4,KE,BA,,,10,,14:43,14:45,00:02,,,,,891,893
R,701,51,53,2,3,BA,KE,,,10,,14:51,14:53,00:02,,,,,907,909
R,708,67,69,2,4,KE,BA,,,10,,15:07,15:09,00:02,,,,,911,916
Os,3323,71,76,5,3,BA,KE,,708,10,,15:11,15:16,00:05,,,,,927,947
Os,3352,87,107,20,7,KE,PU,,127,10,meni sa na 3353-nocuje-odchadza na inu kolaj,15:27,15:47,00:20,,,,,940,942
Ex,127,100,102,2,3,PR,KE,,,10,,15:40,15:42,00:02,,,,,945,949
Os,3322,105,109,4,4,KE,BA,,127,10,,15:45,15:49,00:04,,,,,951,953
R,609,111,113,2,7,BA,KE,,,10,,15:51,15:53,00:02,,,,,964,984
Os,3269,124,144,5,3,PR,PU,,,10,meni sa na 3270,16:04,16:24,00:20,,,,,967,969
R,608,127,129,2,4,KE,BA,,,10,,16:07,16:09,00:02,,,,,971,978
Os,3325,131,138,7,7,BA,KE,,608,10,,16:11,16:18,00:07,,,,,978,980
Ex,122,138,140,2,4,KE,PR,,,10,,16:18,16:20,00:02,,,,,964,984
Os,3270,124,144,5,8,PU,PR,,122,10,presiel z 3270,16:04,16:24,00:20,,,,,1003,1005
Os,3342,163,165,2,4,KE,BA,,,10,,16:43,16:45,00:02,,,,,1011,1013
R,703,171,173,2,3,BA,KE,,,10,,16:51,16:53,00:02,,,,,1034,1044
Os,3327,194,204,5,3,BA,KE,,,10,,17:14,17:24,00:10,,,,,1056,1104
Os,3271,216,264,5,8,PR,PR,3272,,10,,17:36,18:24,00:48,,,,,1060,1062
Ex,221,220,222,2,3,PR,KE,,,10,,17:40,17:42,00:02,,,,,1065,1069
Os,3326,225,229,4,4,KE,BA,,221,10,,17:45,17:49,00:04,,,,,1071,1073
R,611,231,233,2,7,BA,KE,,,10,,17:51,17:53,00:02,,,,,893.75,894
IC,404,53.75,54,0.25,2,KE,BA,,,10,,14:53,14:54,00:01,,,,,929.75,930
IC,1501,89.75,90,0.25,1,BA,KE,,,10,,15:29,15:30,00:01,,,,,989.75,990
IC,1500,149.75,150,0.25,2,KE,BA,,,10,,16:29,16:30,00:01,,,,,1013.75,1014
IC,406,173.75,174,0.25,2,KE,BA,,,10,,16:53,16:54,00:01,,,,,1024.75,1025
IC,407,184.75,185,0.25,1,BA,KE,,,10,,17:04,17:05,00:01,,,,,1049.75,1050
IC,503,209.75,210,0.25,1,BA,KE,,,10,,17:29,17:30,00:01,,,,,,
